PassengerId,Survived
1228,1
923,0
976,0
1179,0
1209,0
1103,0
986,1
1281,0
1219,0
897,0
937,0
1032,0
1037,0
1295,0
1250,0
908,0
1278,0
1016,0
1217,0
895,0
910,0
1024,0
952,0
1090,0
1224,0
955,1
1157,0
1085,0
1084,1
1158,0
1088,1
1008,0
918,1
899,0
1142,1
1138,1
1000,0
993,0
1202,0
921,0
1087,0
1282,0
1010,0
1163,0
1006,1
1203,0
1023,0
1049,1
1044,0
1263,1
1291,0
1164,1
1292,1
1272,0
1001,0
1068,1
1258,0
1299,0
1172,0
975,0
1065,0
1254,1
966,1
1100,1
1011,1
1186,0
1073,0
1119,1
1289,1
1248,1
1069,0
1215,0
928,0
1031,0
1199,1
1064,0
1111,0
1112,1
951,1
1003,0
1095,1
1086,1
898,1
1234,0
1181,0
1050,1
1042,1
902,0
1129,1
995,0
973,0
1121,0
1154,1
1059,0
1284,1
1123,1
1130,1
1221,0
1076,1
981,1
1232,0
1055,0
1286,0
1039,0
1147,0
984,1
961,1
1196,0
1015,0
988,1
1035,0
1267,1
989,0
1290,0
960,0
915,1
929,0
1036,1
1014,1
1115,0
1094,0
1074,1
959,0
1101,0
1145,0
1131,1
1136,0
1225,0
1110,1
1017,0
1038,0
1214,0
978,1
1244,0
1120,0
1245,0
1139,0
1260,1
1210,0
1075,0
1191,0
1190,0
1126,1
1189,1
1021,0
930,0
903,1
1176,1
1077,0
1141,1
1004,1
1071,1
1188,1
1197,1
1175,0
1166,0
1009,1
1287,1
1183,0
1294,1
1194,0
1125,1
1271,1
1242,1
1056,0
1241,1
1028,0
1046,0
1091,0
1089,1
1302,1
894,0
1124,0
1007,0
1012,1
1116,1
1230,0
1173,1
1019,1
1238,0
999,0
1204,0
1025,0
1265,0
936,1
1276,0
957,1
977,0
1134,0
1078,1
1051,1
904,1
927,0
920,1
1062,0
1034,0
1226,0
1178,0
1113,0
987,0
943,0
1132,1
1206,1
1212,0
1070,1
933,1
1218,1
1098,1
1174,1
1146,0
1239,1
896,1
1148,1
1266,1
992,1
1118,0
1249,0
1105,1
1063,0
990,1
1184,0
1107,0
953,1
939,0
924,1
1159,0
1092,1
1297,0
919,0
1262,0
1122,0
1152,0
1180,0
1054,1
1247,1
1030,0
954,0
1027,0
1020,0
900,1
956,1
1192,0
906,1
1048,1
932,0
1275,1
1252,0
1108,1
1171,0
1253,1
1128,0
1099,0
1104,0
1187,0
1273,0
1143,0
1300,1
1274,0
1195,0
1161,0
1093,1
1053,1
935,1
1109,0
1082,0
1201,0
1151,0
997,0
945,1
893,0
941,1
972,1
1097,0
926,1
1155,1
983,0
1231,0
944,1
1237,1
1156,0
1133,1
905,0
1207,1
980,1
1165,1
1058,0
1220,0
1303,1
1026,0
1198,0
1293,0
1211,0
1135,0
946,0
1255,0
942,0
1066,0
1081,0
1307,0
1079,0
1061,0
950,0
940,1
1236,0
1127,0
1144,0
913,0
1205,1
1052,1
1168,0
1083,1
1277,1
1185,0
1235,1
1149,0
1200,0
1041,0
1022,0
1043,0
1251,0
991,0
1264,0
979,0
1222,1
1106,0
1013,0
1309,0
912,0
1080,0
963,0
998,0
1162,0
1240,0
994,0
